code,pe,pe_tushare,pb,pb_tushare,bvps,bvps21,price,net_profits,totalAssets,Goodwill,Intangible_assets,accounts_receivable,debt,totals,date,there_price,now_price,max90,min90
600676,12.90737441,21.05,1.145170212,1.13,5.466436283999999,5.085414397,6.26,49857.39,8861470600.0,0,349255300,1305635000.0,2892718800.0,1028000000.0,2017/12/31,5.697,4.832,6.105,4.56
2761,191.2228686,190.71,7.117301474,6.59,5.180334167,5.084426917,36.87,2313.74,936089000.0,0,47709500,38362900.0,266739400.0,120000000.0,2017/12/31,20.517,19.19,22.538,19.19
600479,46.08417934,41.23,2.889642732,25.51,5.339760458,5.082830745,15.43,11685.29,3114615200.0,14073900,254691200,251981900.0,996347600.0,349000000.0,2017/9/30,12.309,10.49,13.967,10.32
601595,44.85539668,32.93,3.460178719,3.4,5.308974332,5.081329973,18.37,15316.73,2850794900.0,14570500,51393600,235228300.0,813844900.0,374000000.0,2017/9/30,19.257,15.864,20.014,15.382
2679,-544.8024787,0.0,4.381633474,4.06,5.1966920860000005,5.079301223,22.77,-580.95,1627692600.0,0,12623500,54391100.0,892728900.0,139000000.0,2017/9/30,11.803,12.928,16.505,11.094
600674,13.65067202,10.24,1.7543858159999999,1.77,5.095800432,5.07902423,8.94,288292.62,29284801400.0,0,31747000,246162800.0,6821340900.0,4402000000.0,2017/9/30,8.985,8.443,9.266,8.336
300550,144.4122058,101.62,5.961870333999999,5.33,5.954507229,5.070741928,35.5,2040.34,643100700.0,0,7107100,244508400.0,141769500.0,83000000.0,2017/9/30,29.123,35.01,51.248,28.784
300236,117.73549799999999,85.83,5.526824126,5.11,6.231426804,5.068108505,34.44,5674.89,1459635100.0,133878800,72577100,306016500.0,178161200.0,194000000.0,2017/9/30,31.925,30.63,39.802,26.41
2032,35.77902394,26.16,6.937105551,6.3,5.634914982000001,5.067877089,39.09,89697.5,8327929500.0,0,334747300,1551793700.0,3366917000.0,821000000.0,2017/9/30,43.627,51.5,56.0,37.526
603269,131.67732990000002,98.03,4.328660925,3.94,6.269837363,5.064402637,27.14,1875.6,1241149200.0,9614500,37894400,333600200.0,632699600.0,91000000.0,2017/9/30,33.537,18.96,43.137,17.36
